# {'data_set': ['pamap2'], 'batch_size': [128], 'sliding_window_size': 100, 'sliding_window_step': 22, 'epochs': 50, 'learning_rate': [0.0001], 'weight_decay': [0.0001], 'momentum': [0.9], 'loss_critereon': [CrossEntropyLoss()], 'optimizer': ['SGD'], 'kernelsize': [(5, 1)], 'gpu_device': device(type='cuda', index=0)}
loss_trn loss_val accurary_trn accuracy_val f1_trn f1_val
2.485359907150268555e+00 2.486638069152832031e+00 4.761904850602149963e-02 0.000000000000000000e+00 4.329004324972629547e-03 0.000000000000000000e+00
2.485170602798461914e+00 2.486591815948486328e+00 7.936508208513259888e-02 0.000000000000000000e+00 1.167133543640375137e-02 0.000000000000000000e+00
2.485209226608276367e+00 2.486556291580200195e+00 2.380952425301074982e-02 0.000000000000000000e+00 1.107419724576175213e-03 0.000000000000000000e+00
2.485049009323120117e+00 2.486526489257812500e+00 6.349206715822219849e-02 0.000000000000000000e+00 7.581141777336597443e-03 0.000000000000000000e+00
2.485264062881469727e+00 2.486485242843627930e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485332489013671875e+00 2.486437320709228516e+00 1.587301678955554962e-02 0.000000000000000000e+00 4.960317746736109257e-04 0.000000000000000000e+00
2.485516786575317383e+00 2.486415624618530273e+00 2.380952425301074982e-02 0.000000000000000000e+00 1.107419724576175213e-03 0.000000000000000000e+00
2.485366106033325195e+00 2.486353635787963867e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485020399093627930e+00 2.486325740814208984e+00 6.349206715822219849e-02 0.000000000000000000e+00 7.581141777336597443e-03 0.000000000000000000e+00
2.485323429107666016e+00 2.486300706863403320e+00 5.555555596947669983e-02 0.000000000000000000e+00 5.847953259944915771e-03 0.000000000000000000e+00
2.485185384750366211e+00 2.486240625381469727e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.485405206680297852e+00 2.486216068267822266e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485239028930664062e+00 2.486191511154174805e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.485289812088012695e+00 2.486143350601196289e+00 1.587301678955554962e-02 0.000000000000000000e+00 4.960317746736109257e-04 0.000000000000000000e+00
2.484895944595336914e+00 2.486093044281005859e+00 6.349206715822219849e-02 0.000000000000000000e+00 7.581141777336597443e-03 0.000000000000000000e+00
